"Kod";"Nazwa";"Grupy towarów i usług";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"ogółem";"2003";100,8;" --";"";
0000000;"POLSKA";"ogółem";"2004";103,5;" --";"";
0000000;"POLSKA";"ogółem";"2005";102,1;" --";"";
0000000;"POLSKA";"ogółem";"2006";101,0;" --";"";
0000000;"POLSKA";"ogółem";"2007";102,5;" --";"";
0000000;"POLSKA";"ogółem";"2008";104,2;" --";"";
0000000;"POLSKA";"ogółem";"2009";103,5;" --";"";
0000000;"POLSKA";"ogółem";"2010";102,6;" --";"";
0000000;"POLSKA";"ogółem";"2011";104,3;" --";"";
0000000;"POLSKA";"ogółem";"2012";103,7;" --";"";
0000000;"POLSKA";"ogółem";"2013";100,9;" --";"";
0000000;"POLSKA";"ogółem";"2014";100,0;" --";"";
0000000;"POLSKA";"ogółem";"2015";99,1;" --";"";
0000000;"POLSKA";"ogółem";"2016";99,4;" --";"";
0000000;"POLSKA";"ogółem";"2017";102,0;" --";"";
0000000;"POLSKA";"ogółem";"2018";101,6;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2003";101,0;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2004";103,4;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2005";102,2;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2006";101,2;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2007";102,8;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2008";104,8;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2009";104,0;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2010";102,9;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2011";104,6;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2012";103,7;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2013";100,9;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2014";100,0;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2015";99,2;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2016";99,3;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2017";101,9;" --";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";101,2;" --";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2003";100,5;" --";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2004";103,6;" --";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2005";102,0;" --";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2006";100,9;" --";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2007";102,3;" --";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2008";104,4;" --";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2009";103,3;" --";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2010";102,6;" --";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2011";104,6;" --";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2012";103,7;" --";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2013";101,1;" --";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";99,8;" --";"";
