"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"ciepła woda - za 1m3";"cena";"2006";14,03;"zł";"";
0000000;"POLSKA";"styczeń";"ciepła woda - za 1m3";"cena";"2007";14,63;"zł";"";
0000000;"POLSKA";"styczeń";"ciepła woda - za 1m3";"cena";"2008";14,92;"zł";"";
0000000;"POLSKA";"styczeń";"ciepła woda - za 1m3";"cena";"2009";15,95;"zł";"";
0000000;"POLSKA";"styczeń";"ciepła woda - za 1m3";"cena";"2010";17,36;"zł";"";
0000000;"POLSKA";"styczeń";"ciepła woda - za 1m3";"cena";"2011";18,20;"zł";"";
0000000;"POLSKA";"styczeń";"ciepła woda - za 1m3";"cena";"2012";18,91;"zł";"";
0000000;"POLSKA";"styczeń";"ciepła woda - za 1m3";"cena";"2013";20,14;"zł";"";
0000000;"POLSKA";"styczeń";"ciepła woda - za 1m3";"cena";"2014";21,01;"zł";"";
0000000;"POLSKA";"styczeń";"ciepła woda - za 1m3";"cena";"2015";21,36;"zł";"";
0000000;"POLSKA";"styczeń";"ciepła woda - za 1m3";"cena";"2016";21,72;"zł";"";
0000000;"POLSKA";"styczeń";"ciepła woda - za 1m3";"cena";"2017";21,60;"zł";"";
0000000;"POLSKA";"styczeń";"ciepła woda - za 1m3";"cena";"2018";21,80;"zł";"";
0000000;"POLSKA";"styczeń";"ciepła woda - za 1m3";"cena";"2019";22,11;"zł";"";
0000000;"POLSKA";"luty";"ciepła woda - za 1m3";"cena";"2006";14,13;"zł";"";
0000000;"POLSKA";"luty";"ciepła woda - za 1m3";"cena";"2007";14,66;"zł";"";
0000000;"POLSKA";"luty";"ciepła woda - za 1m3";"cena";"2008";14,96;"zł";"";
0000000;"POLSKA";"luty";"ciepła woda - za 1m3";"cena";"2009";16,13;"zł";"";
0000000;"POLSKA";"luty";"ciepła woda - za 1m3";"cena";"2010";17,42;"zł";"";
0000000;"POLSKA";"luty";"ciepła woda - za 1m3";"cena";"2011";18,24;"zł";"";
0000000;"POLSKA";"luty";"ciepła woda - za 1m3";"cena";"2012";19,14;"zł";"";
0000000;"POLSKA";"luty";"ciepła woda - za 1m3";"cena";"2013";20,22;"zł";"";
0000000;"POLSKA";"luty";"ciepła woda - za 1m3";"cena";"2014";21,04;"zł";"";
0000000;"POLSKA";"luty";"ciepła woda - za 1m3";"cena";"2015";21,38;"zł";"";
0000000;"POLSKA";"luty";"ciepła woda - za 1m3";"cena";"2016";21,76;"zł";"";
0000000;"POLSKA";"luty";"ciepła woda - za 1m3";"cena";"2017";21,64;"zł";"";
