"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"karp świeży - za 1kg";"cena";"2006";11,22;"zł";"";
0000000;"POLSKA";"styczeń";"karp świeży - za 1kg";"cena";"2007";11,48;"zł";"";
0000000;"POLSKA";"styczeń";"karp świeży - za 1kg";"cena";"2008";12,54;"zł";"";
0000000;"POLSKA";"styczeń";"karp świeży - za 1kg";"cena";"2009";12,71;"zł";"";
0000000;"POLSKA";"styczeń";"karp świeży - za 1kg";"cena";"2010";12,98;"zł";"";
0000000;"POLSKA";"styczeń";"karp świeży - za 1kg";"cena";"2011";13,73;"zł";"";
0000000;"POLSKA";"styczeń";"karp świeży - za 1kg";"cena";"2012";15,13;"zł";"";
0000000;"POLSKA";"styczeń";"karp świeży - za 1kg";"cena";"2013";14,56;"zł";"";
0000000;"POLSKA";"styczeń";"karp świeży - za 1kg";"cena";"2014";13,85;"zł";"";
0000000;"POLSKA";"styczeń";"karp świeży - za 1kg";"cena";"2015";13,55;"zł";"";
0000000;"POLSKA";"styczeń";"karp świeży - za 1kg";"cena";"2016";14,28;"zł";"";
0000000;"POLSKA";"styczeń";"karp świeży - za 1kg";"cena";"2017";14,91;"zł";"";
0000000;"POLSKA";"styczeń";"karp świeży - za 1kg";"cena";"2018";15,10;"zł";"";
0000000;"POLSKA";"styczeń";"karp świeży - za 1kg";"cena";"2019";15,66;"zł";"";
0000000;"POLSKA";"luty";"karp świeży - za 1kg";"cena";"2006";11,21;"zł";"";
0000000;"POLSKA";"luty";"karp świeży - za 1kg";"cena";"2007";11,68;"zł";"";
0000000;"POLSKA";"luty";"karp świeży - za 1kg";"cena";"2008";12,58;"zł";"";
0000000;"POLSKA";"luty";"karp świeży - za 1kg";"cena";"2009";12,86;"zł";"";
0000000;"POLSKA";"luty";"karp świeży - za 1kg";"cena";"2010";13,21;"zł";"";
0000000;"POLSKA";"luty";"karp świeży - za 1kg";"cena";"2011";13,99;"zł";"";
0000000;"POLSKA";"luty";"karp świeży - za 1kg";"cena";"2012";15,13;"zł";"";
0000000;"POLSKA";"luty";"karp świeży - za 1kg";"cena";"2013";14,59;"zł";"";
0000000;"POLSKA";"luty";"karp świeży - za 1kg";"cena";"2014";14,25;"zł";"";
0000000;"POLSKA";"luty";"karp świeży - za 1kg";"cena";"2015";13,99;"zł";"";
0000000;"POLSKA";"luty";"karp świeży - za 1kg";"cena";"2016";14,79;"zł";"";
0000000;"POLSKA";"luty";"karp świeży - za 1kg";"cena";"2017";15,18;"zł";"";
0000000;"POLSKA";"luty";"karp świeży - za 1kg";"cena";"2018";15,16;"zł";"";
0000000;"POLSKA";"luty";"karp świeży - za 1kg";"cena";"2019";15,57;"zł";"";
0000000;"POLSKA";"marzec";"karp świeży - za 1kg";"cena";"2006";11,27;"zł";"";
0000000;"POLSKA";"marzec";"karp świeży - za 1kg";"cena";"2007";11,86;"zł";"";
0000000;"POLSKA";"marzec";"karp świeży - za 1kg";"cena";"2008";12,64;"zł";"";
0000000;"POLSKA";"marzec";"karp świeży - za 1kg";"cena";"2009";13,07;"zł";"";
0000000;"POLSKA";"marzec";"karp świeży - za 1kg";"cena";"2010";13,28;"zł";"";
0000000;"POLSKA";"marzec";"karp świeży - za 1kg";"cena";"2011";14,15;"zł";"";
0000000;"POLSKA";"marzec";"karp świeży - za 1kg";"cena";"2012";15,40;"zł";"";
0000000;"POLSKA";"marzec";"karp świeży - za 1kg";"cena";"2013";14,96;"zł";"";
0000000;"POLSKA";"marzec";"karp świeży - za 1kg";"cena";"2014";14,36;"zł";"";
0000000;"POLSKA";"marzec";"karp świeży - za 1kg";"cena";"2015";14,26;"zł";"";
0000000;"POLSKA";"marzec";"karp świeży - za 1kg";"cena";"2016";14,80;"zł";"";
0000000;"POLSKA";"marzec";"karp świeży - za 1kg";"cena";"2017";0,00;"zł";"";
0000000;"POLSKA";"marzec";"karp świeży - za 1kg";"cena";"2018";0,00;"zł";"";
0000000;"POLSKA";"marzec";"karp świeży - za 1kg";"cena";"2019";0,00;"zł";"x";
0000000;"POLSKA";"kwiecień";"karp świeży - za 1kg";"cena";"2006";11,28;"zł";"";
0000000;"POLSKA";"kwiecień";"karp świeży - za 1kg";"cena";"2007";11,92;"zł";"";
0000000;"POLSKA";"kwiecień";"karp świeży - za 1kg";"cena";"2008";12,59;"zł";"";
0000000;"POLSKA";"kwiecień";"karp świeży - za 1kg";"cena";"2009";13,09;"zł";"";
0000000;"POLSKA";"kwiecień";"karp świeży - za 1kg";"cena";"2010";13,42;"zł";"";
0000000;"POLSKA";"kwiecień";"karp świeży - za 1kg";"cena";"2011";14,42;"zł";"";
0000000;"POLSKA";"kwiecień";"karp świeży - za 1kg";"cena";"2012";15,38;"zł";"";
0000000;"POLSKA";"kwiecień";"karp świeży - za 1kg";"cena";"2013";14,98;"zł";"";
0000000;"POLSKA";"kwiecień";"karp świeży - za 1kg";"cena";"2014";14,49;"zł";"";
0000000;"POLSKA";"kwiecień";"karp świeży - za 1kg";"cena";"2015";14,24;"zł";"";
0000000;"POLSKA";"kwiecień";"karp świeży - za 1kg";"cena";"2016";0,00;"zł";"";
0000000;"POLSKA";"kwiecień";"karp świeży - za 1kg";"cena";"2017";0,00;"zł";"";
0000000;"POLSKA";"kwiecień";"karp świeży - za 1kg";"cena";"2018";0,00;"zł";"";
0000000;"POLSKA";"kwiecień";"karp świeży - za 1kg";"cena";"2019";0,00;"zł";"x";
0000000;"POLSKA";"maj";"karp świeży - za 1kg";"cena";"2006";0,00;"zł";"";
0000000;"POLSKA";"maj";"karp świeży - za 1kg";"cena";"2007";0,00;"zł";"";
0000000;"POLSKA";"maj";"karp świeży - za 1kg";"cena";"2008";0,00;"zł";"";
0000000;"POLSKA";"maj";"karp świeży - za 1kg";"cena";"2009";0,00;"zł";"";
0000000;"POLSKA";"maj";"karp świeży - za 1kg";"cena";"2010";0,00;"zł";"";
0000000;"POLSKA";"maj";"karp świeży - za 1kg";"cena";"2011";0,00;"zł";"";
0000000;"POLSKA";"maj";"karp świeży - za 1kg";"cena";"2012";0,00;"zł";"";
0000000;"POLSKA";"maj";"karp świeży - za 1kg";"cena";"2013";0,00;"zł";"";
0000000;"POLSKA";"maj";"karp świeży - za 1kg";"cena";"2014";0,00;"zł";"";
0000000;"POLSKA";"maj";"karp świeży - za 1kg";"cena";"2015";0,00;"zł";"";
0000000;"POLSKA";"maj";"karp świeży - za 1kg";"cena";"2016";0,00;"zł";"";
0000000;"POLSKA";"maj";"karp świeży - za 1kg";"cena";"2017";0,00;"zł";"";
0000000;"POLSKA";"maj";"karp świeży - za 1kg";"cena";"2018";0,00;"zł";"";
0000000;"POLSKA";"maj";"karp świeży - za 1kg";"cena";"2019";0,00;"zł";"x";
0000000;"POLSKA";"czerwiec";"karp świeży - za 1kg";"cena";"2006";0,00;"zł";"";
0000000;"POLSKA";"czerwiec";"karp świeży - za 1kg";"cena";"2007";0,00;"zł";"";
0000000;"POLSKA";"czerwiec";"karp świeży - za 1kg";"cena";"2008";0,00;"zł";"";
0000000;"POLSKA";"czerwiec";"karp świeży - za 1kg";"cena";"2009";0,00;"zł";"";
0000000;"POLSKA";"czerwiec";"karp świeży - za 1kg";"cena";"2010";0,00;"zł";"";
0000000;"POLSKA";"czerwiec";"karp świeży - za 1kg";"cena";"2011";0,00;"zł";"";
0000000;"POLSKA";"czerwiec";"karp świeży - za 1kg";"cena";"2012";0,00;"zł";"";
0000000;"POLSKA";"czerwiec";"karp świeży - za 1kg";"cena";"2013";0,00;"zł";"";
0000000;"POLSKA";"czerwiec";"karp świeży - za 1kg";"cena";"2014";0,00;"zł";"";
0000000;"POLSKA";"czerwiec";"karp świeży - za 1kg";"cena";"2015";0,00;"zł";"";
0000000;"POLSKA";"czerwiec";"karp świeży - za 1kg";"cena";"2016";0,00;"zł";"";
0000000;"POLSKA";"czerwiec";"karp świeży - za 1kg";"cena";"2017";0,00;"zł";"";
0000000;"POLSKA";"czerwiec";"karp świeży - za 1kg";"cena";"2018";0,00;"zł";"";
0000000;"POLSKA";"czerwiec";"karp świeży - za 1kg";"cena";"2019";0,00;"zł";"x";
0000000;"POLSKA";"lipiec";"karp świeży - za 1kg";"cena";"2006";0,00;"zł";"";
0000000;"POLSKA";"lipiec";"karp świeży - za 1kg";"cena";"2007";0,00;"zł";"";
0000000;"POLSKA";"lipiec";"karp świeży - za 1kg";"cena";"2008";0,00;"zł";"";
0000000;"POLSKA";"lipiec";"karp świeży - za 1kg";"cena";"2009";0,00;"zł";"";
0000000;"POLSKA";"lipiec";"karp świeży - za 1kg";"cena";"2010";0,00;"zł";"";
0000000;"POLSKA";"lipiec";"karp świeży - za 1kg";"cena";"2011";0,00;"zł";"";
0000000;"POLSKA";"lipiec";"karp świeży - za 1kg";"cena";"2012";0,00;"zł";"";
0000000;"POLSKA";"lipiec";"karp świeży - za 1kg";"cena";"2013";0,00;"zł";"";
0000000;"POLSKA";"lipiec";"karp świeży - za 1kg";"cena";"2014";0,00;"zł";"";
0000000;"POLSKA";"lipiec";"karp świeży - za 1kg";"cena";"2015";0,00;"zł";"";
0000000;"POLSKA";"lipiec";"karp świeży - za 1kg";"cena";"2016";0,00;"zł";"";
0000000;"POLSKA";"lipiec";"karp świeży - za 1kg";"cena";"2017";0,00;"zł";"";
0000000;"POLSKA";"lipiec";"karp świeży - za 1kg";"cena";"2018";0,00;"zł";"";
0000000;"POLSKA";"lipiec";"karp świeży - za 1kg";"cena";"2019";0,00;"zł";"x";
0000000;"POLSKA";"sierpień";"karp świeży - za 1kg";"cena";"2006";0,00;"zł";"";
0000000;"POLSKA";"sierpień";"karp świeży - za 1kg";"cena";"2007";0,00;"zł";"";
0000000;"POLSKA";"sierpień";"karp świeży - za 1kg";"cena";"2008";0,00;"zł";"";
0000000;"POLSKA";"sierpień";"karp świeży - za 1kg";"cena";"2009";0,00;"zł";"";
0000000;"POLSKA";"sierpień";"karp świeży - za 1kg";"cena";"2010";0,00;"zł";"";
0000000;"POLSKA";"sierpień";"karp świeży - za 1kg";"cena";"2011";0,00;"zł";"";
0000000;"POLSKA";"sierpień";"karp świeży - za 1kg";"cena";"2012";0,00;"zł";"";
0000000;"POLSKA";"sierpień";"karp świeży - za 1kg";"cena";"2013";0,00;"zł";"";
0000000;"POLSKA";"sierpień";"karp świeży - za 1kg";"cena";"2014";0,00;"zł";"";
0000000;"POLSKA";"sierpień";"karp świeży - za 1kg";"cena";"2015";0,00;"zł";"";
0000000;"POLSKA";"sierpień";"karp świeży - za 1kg";"cena";"2016";0,00;"zł";"";
0000000;"POLSKA";"sierpień";"karp świeży - za 1kg";"cena";"2017";0,00;"zł";"";
0000000;"POLSKA";"sierpień";"karp świeży - za 1kg";"cena";"2018";0,00;"zł";"";
0000000;"POLSKA";"sierpień";"karp świeży - za 1kg";"cena";"2019";0,00;"zł";"x";
0000000;"POLSKA";"wrzesień";"karp świeży - za 1kg";"cena";"2006";0,00;"zł";"";
0000000;"POLSKA";"wrzesień";"karp świeży - za 1kg";"cena";"2007";0,00;"zł";"";
0000000;"POLSKA";"wrzesień";"karp świeży - za 1kg";"cena";"2008";0,00;"zł";"";
0000000;"POLSKA";"wrzesień";"karp świeży - za 1kg";"cena";"2009";0,00;"zł";"";
0000000;"POLSKA";"wrzesień";"karp świeży - za 1kg";"cena";"2010";0,00;"zł";"";
0000000;"POLSKA";"wrzesień";"karp świeży - za 1kg";"cena";"2011";0,00;"zł";"";
0000000;"POLSKA";"wrzesień";"karp świeży - za 1kg";"cena";"2012";0,00;"zł";"";
0000000;"POLSKA";"wrzesień";"karp świeży - za 1kg";"cena";"2013";0,00;"zł";"";
0000000;"POLSKA";"wrzesień";"karp świeży - za 1kg";"cena";"2014";0,00;"zł";"";
0000000;"POLSKA";"wrzesień";"karp świeży - za 1kg";"cena";"2015";0,00;"zł";"";
0000000;"POLSKA";"wrzesień";"karp świeży - za 1kg";"cena";"2016";0,00;"zł";"";
0000000;"POLSKA";"wrzesień";"karp świeży - za 1kg";"cena";"2017";0,00;"zł";"";
0000000;"POLSKA";"wrzesień";"karp świeży - za 1kg";"cena";"2018";0,00;"zł";"";
0000000;"POLSKA";"wrzesień";"karp świeży - za 1kg";"cena";"2019";0,00;"zł";"x";
0000000;"POLSKA";"październik";"karp świeży - za 1kg";"cena";"2006";11,67;"zł";"";
0000000;"POLSKA";"październik";"karp świeży - za 1kg";"cena";"2007";12,51;"zł";"";
0000000;"POLSKA";"październik";"karp świeży - za 1kg";"cena";"2008";13,32;"zł";"";
0000000;"POLSKA";"październik";"karp świeży - za 1kg";"cena";"2009";13,58;"zł";"";
0000000;"POLSKA";"październik";"karp świeży - za 1kg";"cena";"2010";13,91;"zł";"";
0000000;"POLSKA";"październik";"karp świeży - za 1kg";"cena";"2011";15,07;"zł";"";
0000000;"POLSKA";"październik";"karp świeży - za 1kg";"cena";"2012";15,40;"zł";"";
0000000;"POLSKA";"październik";"karp świeży - za 1kg";"cena";"2013";14,80;"zł";"";
0000000;"POLSKA";"październik";"karp świeży - za 1kg";"cena";"2014";14,43;"zł";"";
0000000;"POLSKA";"październik";"karp świeży - za 1kg";"cena";"2015";14,94;"zł";"";
0000000;"POLSKA";"październik";"karp świeży - za 1kg";"cena";"2016";0,00;"zł";"";
0000000;"POLSKA";"październik";"karp świeży - za 1kg";"cena";"2017";0,00;"zł";"";
0000000;"POLSKA";"październik";"karp świeży - za 1kg";"cena";"2018";0,00;"zł";"";
0000000;"POLSKA";"październik";"karp świeży - za 1kg";"cena";"2019";0,00;"zł";"x";
0000000;"POLSKA";"listopad";"karp świeży - za 1kg";"cena";"2006";11,65;"zł";"";
0000000;"POLSKA";"listopad";"karp świeży - za 1kg";"cena";"2007";12,53;"zł";"";
0000000;"POLSKA";"listopad";"karp świeży - za 1kg";"cena";"2008";13,30;"zł";"";
0000000;"POLSKA";"listopad";"karp świeży - za 1kg";"cena";"2009";13,36;"zł";"";
0000000;"POLSKA";"listopad";"karp świeży - za 1kg";"cena";"2010";13,91;"zł";"";
0000000;"POLSKA";"listopad";"karp świeży - za 1kg";"cena";"2011";15,16;"zł";"";
0000000;"POLSKA";"listopad";"karp świeży - za 1kg";"cena";"2012";15,43;"zł";"";
0000000;"POLSKA";"listopad";"karp świeży - za 1kg";"cena";"2013";14,79;"zł";"";
0000000;"POLSKA";"listopad";"karp świeży - za 1kg";"cena";"2014";14,54;"zł";"";
0000000;"POLSKA";"listopad";"karp świeży - za 1kg";"cena";"2015";14,98;"zł";"";
0000000;"POLSKA";"listopad";"karp świeży - za 1kg";"cena";"2016";14,80;"zł";"";
0000000;"POLSKA";"listopad";"karp świeży - za 1kg";"cena";"2017";15,47;"zł";"";
0000000;"POLSKA";"listopad";"karp świeży - za 1kg";"cena";"2018";16,65;"zł";"";
0000000;"POLSKA";"listopad";"karp świeży - za 1kg";"cena";"2019";16,33;"zł";"";
0000000;"POLSKA";"grudzień";"karp świeży - za 1kg";"cena";"2006";11,24;"zł";"";
0000000;"POLSKA";"grudzień";"karp świeży - za 1kg";"cena";"2007";12,28;"zł";"";
0000000;"POLSKA";"grudzień";"karp świeży - za 1kg";"cena";"2008";12,58;"zł";"";
0000000;"POLSKA";"grudzień";"karp świeży - za 1kg";"cena";"2009";12,67;"zł";"";
0000000;"POLSKA";"grudzień";"karp świeży - za 1kg";"cena";"2010";13,46;"zł";"";
0000000;"POLSKA";"grudzień";"karp świeży - za 1kg";"cena";"2011";15,12;"zł";"";
0000000;"POLSKA";"grudzień";"karp świeży - za 1kg";"cena";"2012";14,16;"zł";"";
0000000;"POLSKA";"grudzień";"karp świeży - za 1kg";"cena";"2013";13,52;"zł";"";
0000000;"POLSKA";"grudzień";"karp świeży - za 1kg";"cena";"2014";12,87;"zł";"";
0000000;"POLSKA";"grudzień";"karp świeży - za 1kg";"cena";"2015";13,32;"zł";"";
0000000;"POLSKA";"grudzień";"karp świeży - za 1kg";"cena";"2016";13,53;"zł";"";
0000000;"POLSKA";"grudzień";"karp świeży - za 1kg";"cena";"2017";14,37;"zł";"";
0000000;"POLSKA";"grudzień";"karp świeży - za 1kg";"cena";"2018";14,85;"zł";"";
0000000;"POLSKA";"grudzień";"karp świeży - za 1kg";"cena";"2019";14,76;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2006";11,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2007";11,41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2008";13,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2009";12,60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2010";14,04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2011";14,16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2012";16,24;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2013";13,77;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2014";12,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2015";14,60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2016";13,68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2017";12,26;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2018";14,25;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"karp świeży - za 1kg";"cena";"2019";14,60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2006";10,77;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2007";11,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2008";12,28;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2009";12,46;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2010";14,73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2011";13,96;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2012";15,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"karp świeży - za 1kg";"cena";"2013";13,30;"zł";"";
