"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,60;"zł";"";
0000000;"POLSKA";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,59;"zł";"";
0000000;"POLSKA";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,63;"zł";"";
0000000;"POLSKA";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,75;"zł";"";
0000000;"POLSKA";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,92;"zł";"";
0000000;"POLSKA";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,90;"zł";"";
0000000;"POLSKA";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";2,92;"zł";"";
0000000;"POLSKA";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,92;"zł";"";
0000000;"POLSKA";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,86;"zł";"";
0000000;"POLSKA";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,85;"zł";"";
0000000;"POLSKA";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,79;"zł";"";
0000000;"POLSKA";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2017";2,77;"zł";"";
0000000;"POLSKA";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,79;"zł";"";
0000000;"POLSKA";"styczeń";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";2,93;"zł";"";
0000000;"POLSKA";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,59;"zł";"";
0000000;"POLSKA";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,59;"zł";"";
0000000;"POLSKA";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,64;"zł";"";
0000000;"POLSKA";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,75;"zł";"";
0000000;"POLSKA";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,93;"zł";"";
0000000;"POLSKA";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,91;"zł";"";
0000000;"POLSKA";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2012";2,93;"zł";"";
0000000;"POLSKA";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2013";2,93;"zł";"";
0000000;"POLSKA";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2014";2,88;"zł";"";
0000000;"POLSKA";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2015";2,82;"zł";"";
0000000;"POLSKA";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2016";2,77;"zł";"";
0000000;"POLSKA";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2017";2,80;"zł";"";
0000000;"POLSKA";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2018";2,80;"zł";"";
0000000;"POLSKA";"luty";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2019";2,94;"zł";"";
0000000;"POLSKA";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2006";2,59;"zł";"";
0000000;"POLSKA";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2007";2,59;"zł";"";
0000000;"POLSKA";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2008";2,64;"zł";"";
0000000;"POLSKA";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2009";2,83;"zł";"";
0000000;"POLSKA";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2010";2,92;"zł";"";
0000000;"POLSKA";"marzec";"piwo jasne pełne, butelkowane - za 0,5l";"cena";"2011";2,92;"zł";"";
