"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2006";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2007";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2008";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2009";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2010";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2011";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2012";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2013";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2014";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2015";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2016";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2017";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";25,92;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";24,79;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2006";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2007";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2008";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2009";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2010";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2011";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2012";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2013";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2014";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2015";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2016";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2017";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2018";25,86;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, bez rękawa";"cena";"2019";24,66;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2006";;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2007";;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2008";;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2009";;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2010";;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2011";;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2012";;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2013";;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2014";;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, bez rękawa";"cena";"2015";;"zł";"";
