"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2006";18,25;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2007";18,64;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2008";19,32;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2009";20,23;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2010";20,93;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2011";21,89;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2012";24,65;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2013";25,15;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2014";25,73;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2015";25,14;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2016";25,56;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2017";26,07;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2018";;"zł";"";
0000000;"POLSKA";"styczeń";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2019";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2006";18,13;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2007";18,63;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2008";19,34;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2009";20,23;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2010";20,87;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2011";22,02;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2012";24,76;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2013";25,01;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2014";25,34;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2015";25,16;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2016";25,52;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2017";26,33;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2018";;"zł";"";
0000000;"POLSKA";"luty";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2019";;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2006";18,33;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2007";18,85;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2008";19,56;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2009";20,23;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2010";20,93;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2011";22,36;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2012";24,92;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2013";25,30;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2014";25,35;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2015";25,26;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2016";25,43;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2017";26,59;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2018";;"zł";"";
0000000;"POLSKA";"marzec";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2019";;"zł";"";
0000000;"POLSKA";"kwiecień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2006";18,44;"zł";"";
0000000;"POLSKA";"kwiecień";"podkoszulek męski bawełniany, krótki rękaw";"cena";"2007";18,84;"zł";"";
