"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"ser dojrzewający - za 1kg";"cena";"2006";15,95;"zł";"";
0000000;"POLSKA";"styczeń";"ser dojrzewający - za 1kg";"cena";"2007";15,71;"zł";"";
0000000;"POLSKA";"styczeń";"ser dojrzewający - za 1kg";"cena";"2008";22,08;"zł";"";
0000000;"POLSKA";"styczeń";"ser dojrzewający - za 1kg";"cena";"2009";16,32;"zł";"";
0000000;"POLSKA";"styczeń";"ser dojrzewający - za 1kg";"cena";"2010";17,18;"zł";"";
0000000;"POLSKA";"styczeń";"ser dojrzewający - za 1kg";"cena";"2011";18,10;"zł";"";
0000000;"POLSKA";"styczeń";"ser dojrzewający - za 1kg";"cena";"2012";19,59;"zł";"";
0000000;"POLSKA";"styczeń";"ser dojrzewający - za 1kg";"cena";"2013";20,03;"zł";"";
0000000;"POLSKA";"styczeń";"ser dojrzewający - za 1kg";"cena";"2014";23,15;"zł";"";
0000000;"POLSKA";"styczeń";"ser dojrzewający - za 1kg";"cena";"2015";20,29;"zł";"";
0000000;"POLSKA";"styczeń";"ser dojrzewający - za 1kg";"cena";"2016";17,85;"zł";"";
0000000;"POLSKA";"styczeń";"ser dojrzewający - za 1kg";"cena";"2017";20,99;"zł";"";
0000000;"POLSKA";"styczeń";"ser dojrzewający - za 1kg";"cena";"2018";21,21;"zł";"";
0000000;"POLSKA";"styczeń";"ser dojrzewający - za 1kg";"cena";"2019";21,00;"zł";"";
0000000;"POLSKA";"luty";"ser dojrzewający - za 1kg";"cena";"2006";15,90;"zł";"";
0000000;"POLSKA";"luty";"ser dojrzewający - za 1kg";"cena";"2007";15,71;"zł";"";
0000000;"POLSKA";"luty";"ser dojrzewający - za 1kg";"cena";"2008";21,29;"zł";"";
0000000;"POLSKA";"luty";"ser dojrzewający - za 1kg";"cena";"2009";16,25;"zł";"";
0000000;"POLSKA";"luty";"ser dojrzewający - za 1kg";"cena";"2010";17,32;"zł";"";
0000000;"POLSKA";"luty";"ser dojrzewający - za 1kg";"cena";"2011";18,12;"zł";"";
0000000;"POLSKA";"luty";"ser dojrzewający - za 1kg";"cena";"2012";19,71;"zł";"";
0000000;"POLSKA";"luty";"ser dojrzewający - za 1kg";"cena";"2013";20,05;"zł";"";
0000000;"POLSKA";"luty";"ser dojrzewający - za 1kg";"cena";"2014";23,35;"zł";"";
0000000;"POLSKA";"luty";"ser dojrzewający - za 1kg";"cena";"2015";19,86;"zł";"";
