"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"sok jabłkowy - za 1l";"cena";"2006";2,81;"zł";"";
0000000;"POLSKA";"styczeń";"sok jabłkowy - za 1l";"cena";"2007";2,93;"zł";"";
0000000;"POLSKA";"styczeń";"sok jabłkowy - za 1l";"cena";"2008";3,27;"zł";"";
0000000;"POLSKA";"styczeń";"sok jabłkowy - za 1l";"cena";"2009";3,59;"zł";"";
0000000;"POLSKA";"styczeń";"sok jabłkowy - za 1l";"cena";"2010";3,64;"zł";"";
0000000;"POLSKA";"styczeń";"sok jabłkowy - za 1l";"cena";"2011";3,67;"zł";"";
0000000;"POLSKA";"styczeń";"sok jabłkowy - za 1l";"cena";"2012";3,77;"zł";"";
0000000;"POLSKA";"styczeń";"sok jabłkowy - za 1l";"cena";"2013";3,79;"zł";"";
0000000;"POLSKA";"styczeń";"sok jabłkowy - za 1l";"cena";"2014";3,79;"zł";"";
0000000;"POLSKA";"styczeń";"sok jabłkowy - za 1l";"cena";"2015";3,68;"zł";"";
0000000;"POLSKA";"styczeń";"sok jabłkowy - za 1l";"cena";"2016";3,66;"zł";"";
0000000;"POLSKA";"styczeń";"sok jabłkowy - za 1l";"cena";"2017";3,58;"zł";"";
0000000;"POLSKA";"styczeń";"sok jabłkowy - za 1l";"cena";"2018";3,67;"zł";"";
0000000;"POLSKA";"styczeń";"sok jabłkowy - za 1l";"cena";"2019";3,81;"zł";"";
0000000;"POLSKA";"luty";"sok jabłkowy - za 1l";"cena";"2006";2,84;"zł";"";
0000000;"POLSKA";"luty";"sok jabłkowy - za 1l";"cena";"2007";2,93;"zł";"";
0000000;"POLSKA";"luty";"sok jabłkowy - za 1l";"cena";"2008";3,31;"zł";"";
0000000;"POLSKA";"luty";"sok jabłkowy - za 1l";"cena";"2009";3,61;"zł";"";
0000000;"POLSKA";"luty";"sok jabłkowy - za 1l";"cena";"2010";3,66;"zł";"";
0000000;"POLSKA";"luty";"sok jabłkowy - za 1l";"cena";"2011";3,70;"zł";"";
0000000;"POLSKA";"luty";"sok jabłkowy - za 1l";"cena";"2012";3,80;"zł";"";
0000000;"POLSKA";"luty";"sok jabłkowy - za 1l";"cena";"2013";3,79;"zł";"";
0000000;"POLSKA";"luty";"sok jabłkowy - za 1l";"cena";"2014";3,81;"zł";"";
0000000;"POLSKA";"luty";"sok jabłkowy - za 1l";"cena";"2015";3,75;"zł";"";
0000000;"POLSKA";"luty";"sok jabłkowy - za 1l";"cena";"2016";3,65;"zł";"";
0000000;"POLSKA";"luty";"sok jabłkowy - za 1l";"cena";"2017";3,60;"zł";"";
0000000;"POLSKA";"luty";"sok jabłkowy - za 1l";"cena";"2018";3,73;"zł";"";
0000000;"POLSKA";"luty";"sok jabłkowy - za 1l";"cena";"2019";3,85;"zł";"";
0000000;"POLSKA";"marzec";"sok jabłkowy - za 1l";"cena";"2006";2,83;"zł";"";
0000000;"POLSKA";"marzec";"sok jabłkowy - za 1l";"cena";"2007";2,93;"zł";"";
0000000;"POLSKA";"marzec";"sok jabłkowy - za 1l";"cena";"2008";3,32;"zł";"";
0000000;"POLSKA";"marzec";"sok jabłkowy - za 1l";"cena";"2009";3,63;"zł";"";
0000000;"POLSKA";"marzec";"sok jabłkowy - za 1l";"cena";"2010";3,63;"zł";"";
0000000;"POLSKA";"marzec";"sok jabłkowy - za 1l";"cena";"2011";3,72;"zł";"";
0000000;"POLSKA";"marzec";"sok jabłkowy - za 1l";"cena";"2012";3,80;"zł";"";
0000000;"POLSKA";"marzec";"sok jabłkowy - za 1l";"cena";"2013";3,80;"zł";"";
0000000;"POLSKA";"marzec";"sok jabłkowy - za 1l";"cena";"2014";3,80;"zł";"";
0000000;"POLSKA";"marzec";"sok jabłkowy - za 1l";"cena";"2015";3,73;"zł";"";
0000000;"POLSKA";"marzec";"sok jabłkowy - za 1l";"cena";"2016";3,63;"zł";"";
0000000;"POLSKA";"marzec";"sok jabłkowy - za 1l";"cena";"2017";3,59;"zł";"";
0000000;"POLSKA";"marzec";"sok jabłkowy - za 1l";"cena";"2018";3,73;"zł";"";
0000000;"POLSKA";"marzec";"sok jabłkowy - za 1l";"cena";"2019";3,86;"zł";"";
0000000;"POLSKA";"kwiecień";"sok jabłkowy - za 1l";"cena";"2006";2,83;"zł";"";
0000000;"POLSKA";"kwiecień";"sok jabłkowy - za 1l";"cena";"2007";2,93;"zł";"";
0000000;"POLSKA";"kwiecień";"sok jabłkowy - za 1l";"cena";"2008";3,36;"zł";"";
0000000;"POLSKA";"kwiecień";"sok jabłkowy - za 1l";"cena";"2009";3,61;"zł";"";
0000000;"POLSKA";"kwiecień";"sok jabłkowy - za 1l";"cena";"2010";3,62;"zł";"";
0000000;"POLSKA";"kwiecień";"sok jabłkowy - za 1l";"cena";"2011";3,69;"zł";"";
0000000;"POLSKA";"kwiecień";"sok jabłkowy - za 1l";"cena";"2012";3,82;"zł";"";
