"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"ziemniaki - za 1 kg";"cena";"2006";0,93;"zł";"";
0000000;"POLSKA";"styczeń";"ziemniaki - za 1 kg";"cena";"2007";1,41;"zł";"";
0000000;"POLSKA";"styczeń";"ziemniaki - za 1 kg";"cena";"2008";0,76;"zł";"";
0000000;"POLSKA";"styczeń";"ziemniaki - za 1 kg";"cena";"2009";1,03;"zł";"";
0000000;"POLSKA";"styczeń";"ziemniaki - za 1 kg";"cena";"2010";1,05;"zł";"";
0000000;"POLSKA";"styczeń";"ziemniaki - za 1 kg";"cena";"2011";1,57;"zł";"";
0000000;"POLSKA";"styczeń";"ziemniaki - za 1 kg";"cena";"2012";0,74;"zł";"";
0000000;"POLSKA";"styczeń";"ziemniaki - za 1 kg";"cena";"2013";1,00;"zł";"";
0000000;"POLSKA";"styczeń";"ziemniaki - za 1 kg";"cena";"2014";1,56;"zł";"";
0000000;"POLSKA";"styczeń";"ziemniaki - za 1 kg";"cena";"2015";0,83;"zł";"";
0000000;"POLSKA";"styczeń";"ziemniaki - za 1 kg";"cena";"2016";1,22;"zł";"";
0000000;"POLSKA";"styczeń";"ziemniaki - za 1 kg";"cena";"2017";1,00;"zł";"";
0000000;"POLSKA";"styczeń";"ziemniaki - za 1 kg";"cena";"2018";1,13;"zł";"";
0000000;"POLSKA";"styczeń";"ziemniaki - za 1 kg";"cena";"2019";1,70;"zł";"";
0000000;"POLSKA";"luty";"ziemniaki - za 1 kg";"cena";"2006";1,04;"zł";"";
0000000;"POLSKA";"luty";"ziemniaki - za 1 kg";"cena";"2007";1,58;"zł";"";
0000000;"POLSKA";"luty";"ziemniaki - za 1 kg";"cena";"2008";0,77;"zł";"";
0000000;"POLSKA";"luty";"ziemniaki - za 1 kg";"cena";"2009";1,06;"zł";"";
0000000;"POLSKA";"luty";"ziemniaki - za 1 kg";"cena";"2010";1,16;"zł";"";
0000000;"POLSKA";"luty";"ziemniaki - za 1 kg";"cena";"2011";1,68;"zł";"";
0000000;"POLSKA";"luty";"ziemniaki - za 1 kg";"cena";"2012";0,77;"zł";"";
0000000;"POLSKA";"luty";"ziemniaki - za 1 kg";"cena";"2013";1,05;"zł";"";
0000000;"POLSKA";"luty";"ziemniaki - za 1 kg";"cena";"2014";1,57;"zł";"";
0000000;"POLSKA";"luty";"ziemniaki - za 1 kg";"cena";"2015";0,82;"zł";"";
0000000;"POLSKA";"luty";"ziemniaki - za 1 kg";"cena";"2016";1,23;"zł";"";
0000000;"POLSKA";"luty";"ziemniaki - za 1 kg";"cena";"2017";1,07;"zł";"";
0000000;"POLSKA";"luty";"ziemniaki - za 1 kg";"cena";"2018";1,15;"zł";"";
0000000;"POLSKA";"luty";"ziemniaki - za 1 kg";"cena";"2019";1,90;"zł";"";
0000000;"POLSKA";"marzec";"ziemniaki - za 1 kg";"cena";"2006";1,10;"zł";"";
0000000;"POLSKA";"marzec";"ziemniaki - za 1 kg";"cena";"2007";1,68;"zł";"";
0000000;"POLSKA";"marzec";"ziemniaki - za 1 kg";"cena";"2008";0,78;"zł";"";
0000000;"POLSKA";"marzec";"ziemniaki - za 1 kg";"cena";"2009";1,08;"zł";"";
0000000;"POLSKA";"marzec";"ziemniaki - za 1 kg";"cena";"2010";1,20;"zł";"";
0000000;"POLSKA";"marzec";"ziemniaki - za 1 kg";"cena";"2011";1,85;"zł";"";
0000000;"POLSKA";"marzec";"ziemniaki - za 1 kg";"cena";"2012";0,78;"zł";"";
0000000;"POLSKA";"marzec";"ziemniaki - za 1 kg";"cena";"2013";1,06;"zł";"";
0000000;"POLSKA";"marzec";"ziemniaki - za 1 kg";"cena";"2014";1,56;"zł";"";
0000000;"POLSKA";"marzec";"ziemniaki - za 1 kg";"cena";"2015";0,82;"zł";"";
0000000;"POLSKA";"marzec";"ziemniaki - za 1 kg";"cena";"2016";1,24;"zł";"";
0000000;"POLSKA";"marzec";"ziemniaki - za 1 kg";"cena";"2017";1,11;"zł";"";
0000000;"POLSKA";"marzec";"ziemniaki - za 1 kg";"cena";"2018";1,15;"zł";"";
0000000;"POLSKA";"marzec";"ziemniaki - za 1 kg";"cena";"2019";2,09;"zł";"";
0000000;"POLSKA";"kwiecień";"ziemniaki - za 1 kg";"cena";"2006";1,18;"zł";"";
0000000;"POLSKA";"kwiecień";"ziemniaki - za 1 kg";"cena";"2007";1,75;"zł";"";
0000000;"POLSKA";"kwiecień";"ziemniaki - za 1 kg";"cena";"2008";0,76;"zł";"";
0000000;"POLSKA";"kwiecień";"ziemniaki - za 1 kg";"cena";"2009";1,12;"zł";"";
0000000;"POLSKA";"kwiecień";"ziemniaki - za 1 kg";"cena";"2010";1,19;"zł";"";
0000000;"POLSKA";"kwiecień";"ziemniaki - za 1 kg";"cena";"2011";1,97;"zł";"";
0000000;"POLSKA";"kwiecień";"ziemniaki - za 1 kg";"cena";"2012";0,77;"zł";"";
0000000;"POLSKA";"kwiecień";"ziemniaki - za 1 kg";"cena";"2013";1,17;"zł";"";
0000000;"POLSKA";"kwiecień";"ziemniaki - za 1 kg";"cena";"2014";1,54;"zł";"";
0000000;"POLSKA";"kwiecień";"ziemniaki - za 1 kg";"cena";"2015";0,82;"zł";"";
0000000;"POLSKA";"kwiecień";"ziemniaki - za 1 kg";"cena";"2016";1,28;"zł";"";
0000000;"POLSKA";"kwiecień";"ziemniaki - za 1 kg";"cena";"2017";1,12;"zł";"";
